ipAddress,abuseConfidenceScore,isp,domain,countryCode,totalReports,lastReportedAt
128.199.104.99,48,DigitalOcean LLC,digitalocean.com,SG,12,2024-07-30T00:30:35+00:00
2a06:98c0:3600::103,0,CloudFlare Inc.,cloudflare.com,GB,92,2024-07-29T06:11:15+00:00
